id,title,author,publisher,published_year,rating,ISBN
306,Sex & the Other Man,Ketty Domb,Hawkthrone Learning,2005,3,752424600-5
307,Autism: The Musical,Morgan Helling,ArdBoyz Education,1978,1.9,306674125-7
308,Patriotism (YÃ»koku),Biddy Rodolphe,Gimon & Sarfunkel,1996,4.1,247420155-6
309,Dr. Otto and the Riddle of the Gloom Beam,Matti Innocenti,Hunter Mifflin,2013,1.9,985662999-3
310,Jackpot,Ardyce Waylett,ArdBoyz Education,1979,3.3,441677233-5
311,In the City (En la ciudad),Kaylil Pottle,Creative Penguin House,2002,4.1,617722429-6
312,Viva Zapata!,Ellswerth Burgiss,Creative Penguin House,2009,3,014219079-9
313,Triple Agent,Mercy Kitchiner,Creative Penguin House,1996,2.1,584235597-3
314,Red River,Jeth Gavey,Mackillian Publishers,1977,2.6,678180048-5
315,Querelle,Leah Klarzynski,HarpieCrollins,1985,3.3,665310171-1
316,When the Cat's Away (Chacun cherche son chat),Had Rome,Hunter Mifflin,2018,2.2,447731598-8
317,Off the Charts: The Song-Poem Story,Charlton Tripett,Gimon & Sarfunkel,2005,1.7,371287484-7
318,"Hammer, The",Van Westrope,Flenderson Book Group,1981,2.8,067371242-7
319,Fantastic Mr. Fox,Em Wasylkiewicz,Gimon & Sarfunkel,1979,1,235021894-5
320,"Sky's the Limit, The",Beverly Newe,Gearson Education,2023,2.8,189260174-5
321,Poto and Cabengo,Kizzie Gavozzi,Hunter Mifflin,2014,4.5,481665581-6
322,My Favorite Year,Rube Ornelas,Flenderson Book Group,1975,2.6,128251726-0
323,"Serbian Film, A (Srpski film)",Jimmy Dowyer,Creative Penguin House,2023,1.3,745346639-3
324,Speedway,Hestia Redington,Hawkthrone Learning,2022,3.3,140312798-0
325,Brainstorm,Onfre Tourner,Mackillian Publishers,1996,3.7,524113933-8
326,Home Sweet Hell,Myrilla Younghusband,Hawkthrone Learning,2015,4.1,039621457-6
327,Devil Hunter (El canÃ­bal),Blanche Risdall,ArdBoyz Education,2014,1.4,419867558-9
328,Club Sandwich,Paddy Lammenga,HarpieCrollins,2016,2.4,534991326-3
329,Razortooth,Vilhelmina Hatcher,Hunter Mifflin,1971,3.3,222555932-5
330,"Flying Swords of Dragon Gate, The (Long men fei jia)",Veronica McAreavey,Hunter Mifflin,2008,2.5,188468145-X
331,"Story of Louis Pasteur, The",Jordan Janczewski,Stoic Corporation,1999,3.9,571839354-0
332,Nancy Drew: Detective,Darnell Edkins,Mackillian Publishers,2010,3.6,425278175-2
333,God's Puzzle (Kamisama no pazuru),Zachary Slay,Creative Penguin House,1993,4.8,050547548-0
334,"Story of Xinghua, The (Xinghua san yue tian)",Margette Lockner,Flenderson Book Group,2009,4.8,731248388-7
335,Owning Mahowny,Bond Sellor,HarpieCrollins,2015,3.5,735586169-7
336,Detroit 9000,Alano Hugnot,Hawkthrone Learning,1989,3.4,823080853-8
337,"Wind, The",Misha Campey,Mackillian Publishers,1986,1.6,881440095-4
338,Yuki & Nina,Faythe Giovannelli,Hunter Mifflin,1995,1.8,907774919-5
339,"Hundred-Foot Journey, The",Lamont Clavey,Stoic Corporation,1976,1.6,992952120-8
340,National Lampoon's Senior Trip,Allina Kornousek,Hawkthrone Learning,1995,2.3,969866793-8
341,Dragon Ball Z: Dead Zone (Doragon bÃ´ru Z 1: Ora no Gohan wo kaese),Lutero Stow,Gearson Education,2000,3,321730509-4
342,This Happy Breed,Lonnie Hardington,Stoic Corporation,2002,4.5,967608932-X
343,Donnie Darko,Justus Gallamore,Gimon & Sarfunkel,1972,1.2,237730629-2
344,College Road Trip,Cayla Fleckney,Hunter Mifflin,1983,4.1,712432870-5
345,In Harm's Way,Skylar Switland,Flenderson Book Group,1971,4.8,634500846-X
346,Don't Look Back,Alys Asquith,ArdBoyz Education,2021,3.3,441085575-1
347,Vares: The Kiss of Evil (Vares - Pahan suudelma),Gasparo Helks,HarpieCrollins,1991,1.2,089665633-0
348,Loputon Gehennan liekki,Reuven O'Heffernan,Stoic Corporation,2015,2.4,566268011-6
349,Enchanted April,Kevin Faustian,Gimon & Sarfunkel,1993,3.2,164974563-X
350,Hoot,Arlie Feasby,Flenderson Book Group,2003,1.4,193064557-0
351,The Golden Voyage of Sinbad,Dmitri Oram,Gimon & Sarfunkel,1975,2.1,437665864-2
352,"Christmas Toy, The",Rae Swainson,Hunter Mifflin,2013,4.5,181593555-3
353,Dragon Ball Z: The Return of Cooler (Doragon bÃ´ru Z 6: Gekitotsu! Hyakuoku pawÃ¢ no senshi),Niven Swetmore,Gearson Education,1985,2,642928434-4
354,Trash,Tommy Doiley,Hawkthrone Learning,2013,2.2,411193456-0
355,My Man (Mon homme),Ninette McWhorter,Creative Penguin House,1988,1.6,847000106-X
356,Last Exit,Husein Enrico,Gearson Education,2011,3.8,488617001-3
357,Central Station (Central do Brasil),Rory Landon,ArdBoyz Education,2020,1.2,502819018-6
358,"Aviator's Wife, The (La femme de l'aviateur)",Felicity Feldberg,Hawkthrone Learning,2015,4.8,376064664-6
359,Gay Purr-ee,Bordy Pendry,HarpieCrollins,1999,3,581514249-2
360,Dead Silence,Stanfield Stonhard,HarpieCrollins,1994,3,490683788-3
361,My Son John,Bree Beauchop,Gimon & Sarfunkel,2003,3.9,518591510-2
362,Must Love Dogs,Caresse Ewenson,Hunter Mifflin,1980,1.8,573621389-3
363,Back to the Future Part III,Isidore Greig,Mackillian Publishers,2021,2.7,437661318-5
364,Criminal Justice,Tori Bagott,Stoic Corporation,2002,2.8,366407262-6
365,"Hudsucker Proxy, The",Gordie Hugnet,Stoic Corporation,2021,3,324333612-0
366,"Union: The Business Behind Getting High, The",Robby Lehemann,Gearson Education,1988,1.1,647886113-9
367,Mr. & Mrs. Smith,Linda Tuffield,Creative Penguin House,1994,1.5,979794501-4
368,"Line, The (La linea)",Ginni Massel,Stoic Corporation,1992,3.2,169682559-8
369,Bend It Like Beckham,Emmy Chastenet,Mackillian Publishers,2010,2.5,759571621-7
370,The Hungover Games,Donal De Avenell,Stoic Corporation,1981,1.5,473688849-0
371,Westward Ho,Jaime Trimme,Hunter Mifflin,1974,2.6,148621280-8
372,"Howards of Virginia, The",Alfredo Weddup,Creative Penguin House,2012,4.5,856223260-2
373,Bachelor Party Vegas,Michal Challiss,Hawkthrone Learning,2020,1.6,361614603-8
374,"Last of England, The",Chanda Clampe,ArdBoyz Education,2011,1.2,910002247-0
375,Jesus Henry Christ,Nessie Skunes,HarpieCrollins,2003,1.6,304002866-9
376,"One I Love, The",Zoe Laugier,Flenderson Book Group,1991,3.4,021815345-7
377,"Moth Diaries, The",Tandy Catterick,Hunter Mifflin,1984,3.4,174494032-0
378,"Experts, The",Cissiee Yushkov,HarpieCrollins,1985,2,347632634-9
379,"Puff, Puff, Pass",Martin Micco,HarpieCrollins,1981,4.1,881769813-X
380,City of Life and Death (Nanjing! Nanjing!),Oby Goldhill,HarpieCrollins,1971,1.1,719546286-2
381,Interstate 60,Zuzana Manicom,Creative Penguin House,2003,3.4,583984332-6
382,Devil,Gordy Ronca,HarpieCrollins,1980,4.4,405781896-0
383,Peep World,Bessie Ferriere,ArdBoyz Education,1998,3.4,383656922-1
384,Sour Grapes,Mozes Morgue,Mackillian Publishers,1977,1.3,031053514-X
385,Kevin Smith: Too Fat For 40,Kathe Kentwell,HarpieCrollins,2000,3.8,021643687-7
386,Of Human Hearts,Yorgos Sapwell,Flenderson Book Group,1983,3,110690924-0
387,"Oh, Sun (Soleil O)",Lyndell Engledow,Gimon & Sarfunkel,1970,4.6,937273280-X
388,Zatoichi and the Fugitives (ZatÃ´ichi hatashi-jÃ´) (ZatÃ´ichi 18),Paulita Gaskoin,Creative Penguin House,2006,1.1,199159245-0
389,"United States of Leland, The",Ermengarde Viney,Gearson Education,2000,4.4,582839067-8
390,Return to Oz,Molli Arkow,Hawkthrone Learning,2009,4.5,625747650-X
391,Care Bears Movie II: A New Generation,Barri Greeve,Mackillian Publishers,2005,4.7,461921884-7
392,Ernest Saves Christmas,Jennie Lorans,Mackillian Publishers,1979,3.9,164376149-8
393,Elvis and Anabelle,Margaretta Penritt,ArdBoyz Education,2007,3.8,900270993-5
394,Foreverland,Dani Mangion,Hawkthrone Learning,1976,3.6,940558019-1
395,Who's Your Daddy?,Ibrahim Janusik,HarpieCrollins,1988,4.7,554362067-5
396,"Bridge at Remagen, The",Terrel Trahearn,Hawkthrone Learning,2003,1.3,738689356-6
397,Tyler Perry's Temptation: Confessions of a Marriage Counselor,Gard Kings,ArdBoyz Education,2008,4.6,359494480-8
398,Take Me Home Tonight,Kaine Reavey,HarpieCrollins,2012,3.5,817117461-2
399,Daddy Day Camp,Adrian Chedgey,Hawkthrone Learning,2015,2.3,898073847-1
400,Casino Royale,Christabel Calafato,Stoic Corporation,1970,1.3,965044509-9
401,Charly,Devlen Pehrsson,Gimon & Sarfunkel,2005,3.4,567878076-X
402,Nightwatch (Nattevagten),Tamera Putterill,Gimon & Sarfunkel,1979,4.4,861146598-9
403,One Body Too Many,Gauthier Rabjohn,Stoic Corporation,2019,1.3,544645020-5
404,Pumpkin,Jerrold Januszewski,HarpieCrollins,1994,3.7,609624441-6
405,"Alphabet Killer, The",Gypsy Killingsworth,Hawkthrone Learning,1996,4,554019860-3
406,Armored,Stearn O'Howbane,ArdBoyz Education,1996,3.3,340391857-2
407,American Crude,Meggy Makinson,Stoic Corporation,2010,1.3,095072725-3
408,PressPausePlay,Lyn Full,Gearson Education,1986,1.9,654607307-2
409,"Last Valley, The",Pail Mattsson,Hawkthrone Learning,1986,3.2,817804553-2
410,Together (Tillsammans),Gris Balthasar,ArdBoyz Education,2006,4,075256144-8
411,Kidnap Syndicate,Fannie Govett,Mackillian Publishers,2003,1.6,142922295-6
412,Wuthering Heights,Constantin Le Sarr,Gearson Education,1971,4.4,339933106-1
413,To Paint or Make Love (Peindre ou faire l'amour),Derek Ditchburn,Gimon & Sarfunkel,1993,4.1,872452738-6
414,Ride Along,Honey Hayhoe,Hunter Mifflin,1976,4.5,977050665-6
415,Black Tights (1-2-3-4 ou Les Collants noirs),Consuelo Andren,Creative Penguin House,2000,2.3,146884337-0
416,Assault on Precinct 13,Cary Bachura,Gimon & Sarfunkel,1980,1.1,071153702-X
417,Whole,Susann Toyne,Stoic Corporation,2003,2.5,819697018-8
418,"Ali Zoua: Prince of the Streets (Ali Zaoua, prince de la rue)",Christiana Yakushkev,HarpieCrollins,1995,2.9,266108069-4
419,"Sing a Song of Sex (Treatise on Japanese Bawdy Songs, A) (Nihon shunka-kÃ´)",Caro Flarity,Flenderson Book Group,1973,2.3,475580037-4
420,"Champ, The",Hunfredo Kingwell,Creative Penguin House,1977,3.5,990350693-7
421,"Wizard, The",Deva Corain,Hunter Mifflin,1990,3.7,271677020-4
422,H6: Diario de un asesino,Kathleen Jewsbury,HarpieCrollins,1977,1.8,824548466-0
423,Kink,Allsun Coudray,Mackillian Publishers,2019,3,768520229-8
424,Body of Water (SyvÃ¤lle salattu),Pete Eagell,Gearson Education,2011,3.7,255758300-6
425,Miss Potter,Teodor Noods,Flenderson Book Group,1987,4.4,521379237-5
426,Sexmission (Seksmisja),Joby De Brett,Mackillian Publishers,1980,4.7,558441495-6
427,Payday,Sarita Melin,Flenderson Book Group,1990,2.1,230863103-1
428,Playground,Bernardine Murphy,Stoic Corporation,1974,2.7,164339999-3
429,"Tall Blond Man with One Black Shoe, The (Le grand blond avec une chaussure noire)",Adey Farron,ArdBoyz Education,1970,4.1,673253507-2
430,Hong Kong Confidential (Amaya),Myron Muddicliffe,HarpieCrollins,2006,2.8,542441634-9
431,Crazy Mama,Karlik Schoolfield,Hawkthrone Learning,2015,3.8,707723251-4
432,Zen,Monique Chishull,Gimon & Sarfunkel,2017,3,427415665-6
433,Jack the Giant Slayer,Christoph Tarbert,HarpieCrollins,1997,4.5,005609465-5
434,Mask,Allison Seacombe,ArdBoyz Education,1985,1.3,286002875-7
435,To Be Twenty,Amargo Crafts,Gearson Education,1976,1.8,871019661-7
436,Curly Sue,Ranique Gonnard,Flenderson Book Group,1971,4.4,508077567-X
437,PCU,Mario Axelbee,Gearson Education,1987,1.5,251522953-0
438,"Trip, The",Natalya Cornely,Hunter Mifflin,1977,1.5,935284143-3
439,Happiness (Schastye),Paige Larkings,Hawkthrone Learning,1989,2,425728510-9
440,"Proud Valley, The",Kendall Carvil,Mackillian Publishers,2018,3.2,356080386-1
441,"Intruder, The (L'intrus)",Happy Sans,ArdBoyz Education,1975,3.7,979977080-7
442,Richard III,Nettie Ffoulkes,Hawkthrone Learning,1972,3.9,664792946-0
443,A Pigeon Sat on a Branch Reflecting on Existence,Kristi Chicchetto,Hawkthrone Learning,2010,4.4,199033000-2
444,Boyfriends and Girlfriends (a.k.a. My Girlfriend's Boyfriend) (L'ami de mon amie),Renie Steffan,Mackillian Publishers,2002,3,935136478-X
445,Silent House,Raddie Witherden,Hunter Mifflin,1984,1.6,124377731-1
446,The Strange Affair,Artemus Bearman,ArdBoyz Education,1977,4.9,776864138-8
447,Stop Making Sense,Drugi Burbudge,HarpieCrollins,2000,2.2,020079382-9
448,"Comancheros, The",Bertram Kaygill,Hawkthrone Learning,1992,2.7,608711177-8
449,"Killer Shrews, The",Gothart Gandar,Hawkthrone Learning,2017,3.1,773438608-3
450,Diamond Dogs,Grant Lochead,Hunter Mifflin,1971,2.4,822564852-8
451,Stratosphere Girl,Elvira Jon,Mackillian Publishers,1972,2.6,134515055-5
452,"Three Brothers 2, The (Les trois frÃ¨res, le retour)",Abby Webber,Flenderson Book Group,1991,4.6,469131981-6
453,Courageous,Jory Muffitt,Creative Penguin House,1987,3.3,913767976-7
454,Gone with the Wind,Marylou Vause,Flenderson Book Group,2020,3,747522026-5
455,Songwriter,Eadie Whitwood,HarpieCrollins,1974,4.5,363309475-X
456,I Bury the Living,Deeann Louder,HarpieCrollins,2022,1.6,268947998-2
457,"Thank You, Jeeves!",Isaac Blezard,Creative Penguin House,1979,3.8,877473957-3
458,Deliver Us from Evil,Demetre Cattemull,Hunter Mifflin,1995,1.2,617322945-5
459,Traces of Red,Carma Borwick,Gearson Education,1990,1.9,174373791-2
460,Small Town of Anara (Qalaqi Anara),Cristie Afonso,ArdBoyz Education,1971,1.5,958312561-X
461,What! No Beer?,Timi Claesens,Flenderson Book Group,1980,1.6,252582189-0
462,"Buona Sera, Mrs. Campbell",Auroora Erdis,Mackillian Publishers,2005,3.7,799548619-7
463,Offside,Massimo Gwilym,Creative Penguin House,2021,1.4,849182967-9
464,Darling,Guthrie Child,Gimon & Sarfunkel,2001,2.3,828088704-0
465,"Poll Diaries, The (Poll)",Aileen Belfrage,Flenderson Book Group,1975,4.3,788230687-8
466,Clash by Night,Hedvige Elrick,Stoic Corporation,1995,4,264298059-6
467,Background to Danger,Jesse Friman,Mackillian Publishers,2016,2.7,993110282-9
468,"Short Film About Love, A (KrÃ³tki film o milosci)",Sinclare Nutt,Gearson Education,1982,2.1,021705685-7
469,Android,Gian Rulten,ArdBoyz Education,2011,3.9,608085380-9
470,Tears of the Sun,Eddy Beggini,Hawkthrone Learning,1977,3,033554078-3
471,Angels in America,Arlena Jansey,Creative Penguin House,2020,3.1,458120882-3
472,Something Real and Good,Rudolph Olech,HarpieCrollins,1982,3.8,184603308-X
473,"Pink Panther, The",Lynda Fleg,Stoic Corporation,1987,4.2,983074650-X
474,"Oh, Sun (Soleil O)",Normy Polin,ArdBoyz Education,1970,1.7,552061087-8
475,The Adventures of Tartu,Isaak Fawdrey,ArdBoyz Education,1994,3.6,239890481-4
476,Fear[s] of the Dark (Peur[s] du noir),Becky Paprotny,Mackillian Publishers,2005,3.4,822276239-7
477,"Messenger, The (Ulak)",Derrick Rea,HarpieCrollins,1977,2.9,264013988-6
478,"CallejÃ³n de los milagros, El",Brooks Disbury,HarpieCrollins,2020,5,542240641-9
479,"Muertos, Los",Darrick Lacroutz,Creative Penguin House,2006,3.8,490418222-7
480,Thirty-Two Short Films About Glenn Gould,Lexi Scotney,Mackillian Publishers,1984,4.1,699776693-5
481,"Wrong Arm of the Law, The",Ivor Buggs,ArdBoyz Education,2019,1.5,777916876-X
482,"Wraith, The",Claudius Seifenmacher,Gearson Education,1980,2.5,849372008-9
483,"Boat That Rocked, The (a.k.a. Pirate Radio)",Jabez Valasek,Creative Penguin House,1975,3.2,982536113-1
484,What Is It?,Issiah Ransfield,Gearson Education,2014,3,978357305-5
485,"Death of Maria Malibran, The (Der Tod der Maria Malibran)",Jasmin Finnes,Flenderson Book Group,1988,1.7,770044213-4
486,Outsourced,Andromache Aubert,Hunter Mifflin,2001,1.9,337344942-1
487,"Return of Don Camillo, The (Retour de Don Camillo, Le)",Averil Janes,Flenderson Book Group,1999,1.1,763929459-2
488,Role Models,Ardys Aksell,Gearson Education,2016,3.6,363574112-4
489,Mike Birbiglia: What I Should Have Said Was Nothing,Rafaellle Antosik,Hunter Mifflin,1989,3.8,277217569-3
490,Blood Beach,Muffin Yves,Gimon & Sarfunkel,2008,1.3,938845007-8
491,Peeping Tom,Base Vedekhov,Stoic Corporation,1970,3.3,728449826-9
492,Echoes from the Dead (Skumtimmen),Izzy Winkett,HarpieCrollins,1995,2.8,719109879-1
493,"High Tech, Low Life",Axe Beaushaw,Flenderson Book Group,2010,1.9,631310339-4
494,Southern Comfort,Addy Berston,Hawkthrone Learning,1970,4.7,165544928-1
495,"Raiders of Atlantis, The",Ethyl Fulop,Creative Penguin House,1995,1.7,551135412-0
496,Christmas Carol: The Movie,Jacquelyn McNally,HarpieCrollins,2022,4,846837233-1
497,Wonder Woman,Brennen Fellgett,Mackillian Publishers,1987,2.2,524627915-4
498,Lo,Randy Gehrts,Hawkthrone Learning,1997,3.7,070429041-3
499,Lovecraft: Fear of the Unknown,Norrie Draycott,Hawkthrone Learning,1972,3.1,327679014-9
500,Butterfly (La lengua de las mariposas),Rorie Blacklidge,Mackillian Publishers,1995,4.8,669825680-3
